_u,_v,dB(NearETotal)
7.2,-6.4,-19.6119
8,-6.4,-23.2966
8.8,-6.4,-17.1683
9.6,-6.4,-20.5378
10.4,-6.4,-19.6867
11.2,-6.4,-22.1027
12,-6.4,-27.4087
12.8,-6.4,-19.5835
13.6,-6.4,-28.6914
14.4,-6.4,-29.1558
15.2,-6.4,-22.7048
16,-6.4,-19.1511
16.8,-6.4,-19.0784
17.6,-6.4,-21.2116
18.4,-6.4,-27.275
19.2,-6.4,-32.1745
20,-6.4,-30.3866
-20,-5.6,-12.7453
-19.2,-5.6,-3.81185
-18.4,-5.6,-17.2647
-17.6,-5.6,-12.5543
-16.8,-5.6,-9.627
-16,-5.6,-12.19
-15.2,-5.6,-0.10528
-14.4,-5.6,2.56055
-13.6,-5.6,-9.29376
-12.8,-5.6,-4.38875
-12,-5.6,-11.833
-11.2,-5.6,-10.3315
-10.4,-5.6,-9.21154
-9.6,-5.6,-8.14511
-8.8,-5.6,-1.65378
-8,-5.6,-15.9564
-7.2,-5.6,-5.94128
-6.4,-5.6,-10.973
-5.6,-5.6,-11.3808
-4.8,-5.6,-10.6629
-4,-5.6,-11.2705
-3.2,-5.6,-6.40573
-2.4,-5.6,-2.70438
-1.6,-5.6,-9.48166
-0.8,-5.6,-9.37912
0,-5.6,-14.1513
0.8,-5.6,-12.1719
1.6,-5.6,-21.7823
2.4,-5.6,-16.7724
3.2,-5.6,-11.5181
4,-5.6,-20.9872
4.8,-5.6,-4.88622
5.6,-5.6,-16.9383
6.4,-5.6,-22.286
7.2,-5.6,-19.5991
8,-5.6,-16.2312
8.8,-5.6,-15.8983
9.6,-5.6,-14.8682
10.4,-5.6,-22.2558
