_u,_v,dB(NearETotal)
-7.5,-7.5,-9.51564
-7,-7.5,-11.3682
-6.5,-7.5,-10.4522
-6,-7.5,-9.3104
-5.5,-7.5,-11.6347
-5,-7.5,-2.99044
-4.5,-7.5,-1.82571
-4,-7.5,-5.25271
-3.5,-7.5,-7.82008
-3,-7.5,-11.4175
-2.5,-7.5,-5.60821
-2,-7.5,-5.5965
-1.5,-7.5,-4.29251
-1,-7.5,-6.81073
-0.5,-7.5,-8.28411
0,-7.5,-8.68828
0.5,-7.5,-12.6224
1,-7.5,-11.451
1.5,-7.5,-14.5638
2,-7.5,-14.8154
2.5,-7.5,-9.97053
3,-7.5,-9.43698
3.5,-7.5,-14.6129
4,-7.5,-13.5
4.5,-7.5,-5.35513
5,-7.5,-12.296
5.5,-7.5,-8.3916
6,-7.5,-15.0735
6.5,-7.5,-11.5199
7,-7.5,-16.6562
7.5,-7.5,-10.9511
8,-7.5,-13.6098
8.5,-7.5,-11.9701
9,-7.5,-14.8636
9.5,-7.5,-15.7037
10,-7.5,-9.97556
10.5,-7.5,-11.4721
11,-7.5,-10.8058
11.5,-7.5,-12.7051
12,-7.5,-13.0678
12.5,-7.5,-12.3914
13,-7.5,-12.8095
13.5,-7.5,-14.6487
14,-7.5,-13.6345
14.5,-7.5,-23.8988
15,-7.5,-14.869
-15,-7,-0.315336
-14.5,-7,-1.53259
-14,-7,-2.13452
-13.5,-7,3.86586
-13,-7,-2.76197
-12.5,-7,-5.98122
-12,-7,-9.19283
-11.5,-7,-11.2041
-11,-7,-9.61152
-10.5,-7,-8.1163
-10,-7,-11.1396
-9.5,-7,-9.71411
-9,-7,-12.6642
-8.5,-7,-13.6839
-8,-7,-13.5627
-7.5,-7,-9.27067
-7,-7,-4.53512
-6.5,-7,-15.2114
-6,-7,-9.38218
-5.5,-7,-3.75816
-5,-7,-4.13738
-4.5,-7,-2.86954
-4,-7,-14.4507
-3.5,-7,-8.37357
-3,-7,-4.19955
-2.5,-7,-5.61626
-2,-7,-3.22151
-1.5,-7,-5.20845
-1,-7,-4.93538
-0.5,-7,-6.06066
0,-7,-12.6032
0.5,-7,-11.3669
1,-7,-12.189
1.5,-7,-13.6893
2,-7,-11.4282
2.5,-7,-10.7975
3,-7,-8.91036
3.5,-7,-13.9706
4,-7,-13.5653
4.5,-7,-16.4575
5,-7,-15.5832
5.5,-7,-9.75623
6,-7,-15.8669
6.5,-7,-10.9786
7,-7,-12.7407
7.5,-7,-12.4925
8,-7,-14.8694
8.5,-7,-12.7107
9,-7,-16.6515
9.5,-7,-19.9702
10,-7,-15.5623
10.5,-7,-10.8108
11,-7,-12.0766
11.5,-7,-15.4993
12,-7,-17.0352
12.5,-7,-14.3077
13,-7,-15.9419
13.5,-7,-13.0047
14,-7,-13.7997
14.5,-7,-9.3652
15,-7,-15.2534
-15,-6.5,4.79305
-14.5,-6.5,5.66456
-14,-6.5,5.22535
-13.5,-6.5,8.79613
